#TAG,NAME (or Git URL),DESCRIPTION,PKG_DEBIAN,PKG_ARCH,PKG_ARTIX,PKG_UBUNTU
,linux-image-generic,"is the base Linux image for Debian machines.",,skip,skip,
,build-essential,"provides essential packages for building packages from source code.",,skip,skip,
,network-manager,"is a network manager.",,skip,skip,
,bat,"is a better version of `cat`.",,,,
,curl,"is a package for transferring data from URLs.",,,,
,fzf,"is a fuzzy finder tool.",,,,
,git,"is a distributed version control system.",,,,
,gpg,"is a package for public-key cryptography.",,skip,skip,
A,htop,"is a graphical system monitor.",,htop-vim,htop-vim,
A,lf,"is an extensive terminal file manager.",,lf-git,lf-git,
,lvm2,"is a package for managing logical volumes.",,,,
,rsync,"is a package for transferring and syncing files.",,,,
,ssh,"is a package that enables a user to utilize secure shells.",,skip,skip,
,stow,"is a package that enables a user to rapidly deploy config files as symlinks.",,,,
,sudo,"is a package that allows non-root users to use commands as if they were the root user.",,,,
,tmux,"is a terminal multiplexer.",,,,
,tree,"is a package that lists files in a graphically helpful way.",,,,
A,ueberzug,"enables previews in the `lf` file manager.",,ueberzugpp-new-git,ueberzugpp-new-git,
,vim,"is a text editor.",,,,
,zsh,"is a shell.",,,,
A,zsh-syntax-highlighting,"enables syntax highlighting in `zsh`.",,zsh-fast-syntax-highlighting-git,zsh-fast-syntax-highlighting-git,
